,freq,lemma1,lemma2
1094,1,2,zet
1095,1,2,zetten
1096,2,2,zijn
1097,4,2,zitten
1098,1,2,zwaargewond
1099,1,2,zwemmen
1100,1,2,één
1101,1,"2,50",€
1102,1,2-0,maken
1103,3,2-0,scoren
1104,1,2-0,staan
1105,4,2-0,verliezen
1106,6,2-0,winnen
1107,1,2-0,worden
1108,1,2-1,blij
1109,1,2-1,eindstand
1110,2,2-1,maken
1111,1,2-1,schieten
1112,2,2-1,scoorden
1113,4,2-1,scooren
1114,9,2-1,scoren
1115,3,2-1,staan
1116,3,2-1,verliezen
1117,6,2-1,winnen
1118,3,2-1,worden
1119,1,2-10,staan
1120,1,2-2,Roda
1121,1,2-2,hebben
1122,1,2-2,jammer
1123,3,2-2,maken
1124,2,2-2,scooren
1125,3,2-2,scoren
1126,1,2-2,speelen
1127,3,2-2,spelen
1128,2,2-2,staan
1129,1,2-3,gaan
1130,1,2-3,schiet
1131,1,2-3,staan
1132,4,2-3,verliezen
1133,2,2-3,winnen
1134,1,"2-3,4,5",komen
1135,1,2-4,scoren
1136,2,2-4,verliezen
1137,1,2-4,winnen
1138,1,2-5,verliezen
1139,1,2-daags,sportevenement
1140,1,2.000.000.000,kosten
1141,1,2.Een,uitklappen
1142,1,2.vers,eten
1143,1,20%,doen
1144,1,20%,hebben
1145,1,20%,laten
1146,1,20,bier
1147,3,20,eeuw
1148,1,20,geven
1149,1,20,hebben
1150,1,20,jaar
1151,1,20,keer
1152,1,20,klaar
1153,1,20,lopen
1154,1,20,minuut
1155,1,20,slacht
1156,1,20,verjaardag
1157,1,20,zeggen
1158,1,20-19,voeden
1159,1,20.000,hebben
1160,1,20.0000,verdienen
1161,1,200,kopen
1162,1,200,kunnen
1163,1,200,stoppen
1164,1,200,zijn
1165,1,200.00000,hebben
1166,1,2012,hebben
1167,1,2013,beginnen
1168,1,2013,doen
1169,1,2013,uitbreken
1170,1,2014,jaar
1171,1,2014,leuk
1172,1,2014,wensen
1173,2,2014,worden
1174,1,2015,typn
1175,1,2028,zien
1176,1,2040,staan
1177,1,20:05,zeggen
