lemma1,lemma2,freq
ze,lopen,723
ze,achtervolgen,8
ze,beginnen,281
man,komen,320
oog,doen,119
ze,belanden,24
raam,zitten,3
donker,ruimte,8
ze,vastbinden,15
wat,gebeuren,537
ze,horen,1213
voetstap,horen,61
dit,komen,31
ze,blaf,907
ze,piep,46
boxershondje,bestaan,1
ze,val,349
katten,val,6
staart,kwispelen,5
hond,willen,582
ze,kauw,24
ze,kunnen,1133
trucje,kunnen,49
leuk,trucje,31
dierentuin,sluiten,94
dier,willen,268
vrijheid,willen,21
zich,vervelen,3
mam,kijken,28
hond,helpen,73
je,horen,524
het,horen,363
ja,lijken,5
hond,kijken,32
bruine,hond,19
witten,plek,1
witten,stippelhond,1
wij,hebben,986
jessie,heten,6
ruigharig,dwergteckel,1
ik,uitlaat,198
liefste,hond,46
hondenvoer,eten,42
hond,leer,158
ander,kamer,24
teef,krijgen,1
puppy,krijgen,155
dat,hebben,1037
kleine,hond,321
hond,zijn,866
groot,hond,505
ras,zijn,85
kleineren,ras,1
dat,zien,523
staren,hangen,2
hij,staat,187
krachtig,poten,1
hij,lopen,1236
hij,krijgen,853
koekje,krijgen,14
mond,hebben,86
groot,mond,18
brief,hebben,24
dat,lukken,347
avontuur,beleven,93
spectaculair,avontuur,1
beroep,beleven,1
hard,beroep,1
onverwacht,ding,2
opa,vertellen,13
kleinkind,vertellen,1
leven,bereik,1
ding,bereik,1
fijn,leven,77
vriendin,meenemen,8
je,schminken,4
je,drinken,120
limonade,drinken,6
alles,zet,16
jong,zijn,338
ballen,zien,18
mooi,ballen,7
jong,gaan,77
vader,vinden,175
hij,vroeg,289
dag,gaan,81
nieuw,ballen,16
ballen,gaan,59
ballen,ophalen,10
vreemdelinge,komen,4
hij,aanbellen,3
je,liggen,133
ballen,liggen,15
jongen,vroeg,2
ballen,brengen,7
geluk,brengen,9
circusdier,vinden,42
kunstje,doen,1894
dier,hoeve,64
hij,luisteren,92
politie,gebruikt,16
ze,gebruikt,115
neuzen,hebben,207
goed,neuzen,55
hond,gebruikt,43
dief,spoor,2
huisdier,houden,3
inbreker,komen,12
idool,hebben,8
iedereen,hebben,429
dat,komen,752
het,zitten,199
mij,hebben,43
echt,idool,1
idool,kies,1
leeuwin,ontsnappen,31
directeur,gaan,7
eten,geven,259
