lemma,pos,freq
wat,NOUN,8
beautykist,NOUN,1
zomerkleurt,NOUN,1
donker,ADJ,916
licht,ADJ,182
iedereen,PRON,6220
paaslunch,NOUN,13
speel,NOUN,50
lokaal,ADJ,57
groeien,VERB,343
bloem,NOUN,640
boyes,NOUN,1
eks,NOUN,2
weer,NOUN,1680
Pasen,PROPN,475
ei,NOUN,1636
Schilderen,VERB,8
Gezellig,ADJ,25
hopen,VERB,2141
Jezus,PROPN,488
opgestaan,VERB,42
Kerstmis,PROPN,139
opstaan,VERB,362
geloven,VERB,558
verveelen,VERB,279
me.,SYM,103
krant,NOUN,283
herfsttocht,NOUN,7
rende,VERB,600
moeten,VERB,1598
kwartier,NOUN,420
Yes,SYM,301
zin,NOUN,3011
stappen,VERB,659
meneer,NOUN,1465
hallo,INTJ,751
groet,VERB,40
hier,ADV,3671
minuut,NOUN,3074
huilen,VERB,1127
doei,NOUN,1605
vertellen,VERB,2993
deur,NOUN,2630
buitenlucht,NOUN,56
houd,VERB,32
drinken,VERB,4093
PlayStation,PROPN,202
verstoppen,VERB,636
knutselen,VERB,1094
voetbal,NOUN,4531
kussengevecht,NOUN,40
slmeestje,NOUN,1
motor,NOUN,1552
veren,VERB,85
raamp,NOUN,106
eit,NOUN,247
baby,NOUN,908
zelfs,ADV,1640
besturen,VERB,601
verschillen,VERB,186
hobby,NOUN,2097
galopperen,VERB,84
binnenkort,ADV,100
wedstrijd,NOUN,2926
galop,NOUN,111
één,ADJ,3135
Pancho,PROPN,4
twee,ADJ,1268
Viola,PROPN,9
kennen,VERB,1996
Yin,NOUN,2
Dany,PROPN,3
Puk,PROPN,86
Drieske,PROPN,2
Cesar,PROPN,8
Epke,PROPN,14
Simba,PROPN,40
Rafellie,PROPN,2
Toontje,NOUN,2
Roxet,PROPN,2
veulen,NOUN,80
Zoë,PROPN,152
Rover,PROPN,8
Joe,PROPN,19
Lukij,PROPN,2
Girl,PROPN,3
Naferieno,PROPN,2
Balanz,PROPN,2
Keifa,PROPN,2
Ferro,PROPN,2
Nootje,PROPN,2
Donna,PROPN,93
Bas,PROPN,727
Silferad,PROPN,2
Natasja,PROPN,11
Fijza,PROPN,2
Solgar,PROPN,2
Sunnie,PROPN,3
Bakardi,PROPN,2
brandstof,NOUN,333
landingsgestel,NOUN,14
poten,VERB,336
metaal,NOUN,269
propeller,NOUN,104
20,NUM,608
architect,NOUN,75
leef,VERB,15
Jaguar,PROPN,4
maak,VERB,161
verzinen,VERB,71
modern,ADJ,116
E.,PROPN,24
vrouw,NOUN,1395
Boskat,NOUN,1
heeeeeeeeeel,ADJ,4
Landsheez,PROPN,1
Maas,PROPN,37
prachtig,ADJ,333
uitzicht,NOUN,104
privéjacht,NOUN,4
jacht,NOUN,155
v,NOUN,217
zij,PRON,3966
tijdlopen,VERB,1
heeeeeeeeeeel,ADJ,1
Maasduinen,PROPN,1
vuursalamander,NOUN,3
Limburg,PROPN,72
keken,VERB,159
blauw,ADJ,1002
hemel,NOUN,82
voorbij,ADJ,721
ernaar,ADV,110
hoog,ADJ,2261
snelheid,NOUN,107
proberen,VERB,1445
lukken,VERB,1225
ander,ADV,1108
looping,NOUN,20
zwaar,ADJ,717
speels,ADJ,968
schattig,ADJ,2591
kwispelstaartje,NOUN,2
tonge,NOUN,4
tam,ADJ,232
big,NOUN,12
gei,NOUN,16
hooiberg,NOUN,13
duiken,VERB,259
niemand,PRON,2085
klomp,NOUN,10
puzzeltocht,NOUN,5
stuur,NOUN,214
botsing,NOUN,33
ge,PRON,40
politiebureau,NOUN,71
diermishandeling,NOUN,323
slaan,VERB,2121
mishandeld,VERB,627
ieder,DET,939
geval,NOUN,505
beroep,NOUN,200
oneens,ADJ,344
moe,ADJ,1097
type,NOUN,303
snap,AUX,11
hoor,INTJ,1475
W8,PROPN,329
gwn,PROPN,76
ww,DET,1
wachtwoord,NOUN,120
wdj,NOUN,33
Mz,PROPN,9
Bdlje,PROPN,1
bedoelen,VERB,755
im,SYM,3
Wrm,INTJ,1
schrijf,VERB,1120
taal,NOUN,2595
letten,VERB,481
komma,NOUN,404
nadruk,NOUN,5
klemtoon,NOUN,2
uitroeptekens,NOUN,43
Groetjes,PROPN,286
Ab,PROPN,3
succes,NOUN,329
Maandag,PROPN,224
wij,PRON,7598
professor,NOUN,199
eiertruc,NOUN,1
help,VERB,346
breken,VERB,546
vc.,X,1
mobieltje,NOUN,2346
fris,ADJ,738
snuffelen,VERB,156
cool,ADJ,1292
likken,VERB,365
sterk,ADJ,1009
waken,VERB,84
Hallo,INTJ,681
jullie,PRON,3058
dansen,VERB,1579
basketbal,NOUN,306
afvallen,VERB,37
zingen,VERB,1455
The,PROPN,719
Voice,PROPN,41
Kids,PROPN,48
bepalen,VERB,688
jury,NOUN,40
Oké,ADV,706
gezondheid,NOUN,187
hockeyen,VERB,220
hutt,NOUN,232
liever,ADV,980
niets,PRON,1279
werkstuk,NOUN,103
opzoeken,VERB,263
minimaal,ADJ,29
tien,NUM,1594
erop,ADV,1525
vierkant,ADJ,316
nieuw,ADJ,4060
tuin,NOUN,1284
plant,NOUN,451
ruiken,VERB,695
Hoi,INTJ,144
Lauren,VERB,2
Babsie,PROPN,2
papa,NOUN,3178
klus,NOUN,150
hout,NOUN,371
drama,NOUN,30
tekenfilmp,NOUN,1
Jantje,PROPN,259
tent,NOUN,563
s,NOUN,566
nacht,NOUN,1422
leeuuw,NOUN,1
station,NOUN,75
jantje,PROPN,25
TGV,PROPN,4
bloeding,NOUN,3
teen,NOUN,62
dokter,NOUN,618
Fluit,NOUN,9
10-10-2013,SYM,1
end,PROPN,510
Harrij,PROPN,32
stabij,NOUN,23
blindengeleidehond,NOUN,53
herdershond,NOUN,234
tand,NOUN,921
schoonte,NOUN,1
gebruik,NOUN,229
kauwbot,NOUN,5
telefoon,NOUN,4169
brengen,VERB,1758
ophalen,VERB,627
crimine,NOUN,34
allemaal,ADV,6549
inbreken,VERB,120
Buikklachten,PROPN,1
vrijdagavond,NOUN,67
Voice,SYM,31
Holland,PROPN,95
erge,PROPN,119
buikpijn,NOUN,49
slapen,VERB,5651
buik,NOUN,392
masseren,VERB,13
erna,ADV,115
weg,ADV,7010
Mercy,PROPN,1
logeren,VERB,892
kramp,NOUN,19
Blindedarmontsteking,PROPN,1
Maandags,NOUN,1
dinsdag,PROPN,583
ziek,ADJ,1652
huisarts,NOUN,41
testen,VERB,61
pot,NOUN,436
doorsturen,VERB,7
plaats,NOUN,1512
belden,VERB,94
